17.   1      2062.   -0.0108    0.0088
17.   2      2062.   -0.0111    0.0062
17.   3      2062.   -0.0062    0.0074
17.   4      2062.    0.0020    0.0047
17.   5      2062.    0.0018    0.0049
17.   6      2062.    0.0002    0.0000
39.   1      2062.   -0.0089    0.0075
39.   3      2062.   -0.0040   -0.0016
39.   4      2062.   -0.0022    0.0052
39.   5      2062.   -0.0012    0.0085
39.   6      2062.   -0.0034   -0.0018
63.   1      2062.   -0.0016    0.0092
63.   2      2062.   -0.0111    0.0040
63.   3      2062.   -0.0059    0.0067
63.   4      2062.   -0.0078    0.0016
63.   5      2062.   -0.0007    0.0020
63.   6      2062.    0.0006    0.0017
103.   1      2062.   -0.0050    0.0076
103.   2      2062.   -0.0140    0.0002
103.   3      2062.   -0.0048    0.0025
103.   4      2062.    0.0018    0.0045
103.   5      2062.    0.0016   -0.0025
103.   6      2062.    0.0044    0.0035
125.   1      2062.   -0.0056    0.0099
125.   2      2062.   -0.0155    0.0123
125.   3      2062.   -0.0010    0.0042
125.   4      2062.   -0.0014    0.0098
125.   5      2062.    0.0003    0.0032
125.   6      2062.   -0.0017    0.0115

